id,title,brand,feature,rank,date,asin,imageURL,imageURLHighRes,description,price,also_view,also_buy,fit,details,similar_item,tech1
11425,Flirty Mouse,BWD,['Shipping Information:\n                    \nView shipping rates and policies'],"7,592,935inClothing,ShoesJewelry(",5 star,B005KEWDA6,"['https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL._SR38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/116V57FDDAL.jpg']","['3-Piece Flirty Mouse includes Stretch lycra dress, mouse ears, and belt. (BW889 Black Petticoat and BWA01 Black anklets sold separately)']",$33.98 - $66.79,,,,,,
42653,USA American Flag Stripes Necktie,Fratello,"['100% Polyester', 'Dry Clean Only', '100% Polyester', 'US Flag Themed Necktie', 'Size: 57"" Long x 3 3/4"" Wide', 'Dry Clean Only', 'You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.', 'Read the full returns policy', 'Go to Your Orders to start the return', 'Print the return shipping label', 'Ship it!', 'Product Dimensions:\n                    \n57 x 4 x 0.3 inches', 'Shipping Weight:\n                    \n0.8 ounces (View shipping rates and policies)']","6,555,929inClothing,ShoesJewelry(",5 star,B00JH56JFE,"['https://images-na.ssl-images-amazon.com/images/I/417%2Bm8b6CcL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/417%2Bm8b6CcL.jpg'],['The flag is a symbol of hope and peace through the United States. Show your love for the US with our American Flag Necktie'],$8.99,,,,,,
120074,Grödo (Groedo) Organic Wool Cotton Adult-Unisex High Socks (1 Pair) Made in Germany,Grdo,"['80% organic cotton, 18% organic wool, 2% elasthane.', 'Certified by GOTS (Global Organic Textile Standard).', 'Made in Germany.', 'Size EU 35-36 fits US women 5-6, US men 3 1/2 -4 1/2 . Size EU 37-38 fits US women 6 1/2-8, US men 5-6. Size EU 39-40 fits US women 8 1/2-9, US men 7-7 1/2. Size EU 41-42 fits US women 9 1/2-10, US men 8-8 1/2. Size EU 43-44 fits US women 10 1/2-12, US men 9-10 1/2. Size EU 45-46 fits US women 13-14, US men 11-12.', 'Package Dimensions:\n                    \n3 x 2 x 0.1 inches', 'Shipping Information:\n                    \nView shipping rates and policies']","1,708,421inClothing,ShoesJewelry(",5 star,B0160RS8ZU,"['https://images-na.ssl-images-amazon.com/images/I/31nHmXQ5FeL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41v2mkTi-xL._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/31nHmXQ5FeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41v2mkTi-xL.jpg']",,$15.99 - $20.99,"['B014C5XSK2', 'B014UJC6WQ', 'B013OTK50I', 'B01465Y2JY', 'B07C63H8XY', 'B07BHSKCB5', 'B013PTPWMI', 'B07CF7L8FW']",,,,,
60625,Captain America Studded Zip Around Wallet,Captain America,"['Product Dimensions:\n                    \n4 x 1 x 5 inches', 'Shipping Weight:\n                    \n4.8 ounces (View shipping rates and policies)']","9,168,275inClothing,ShoesJewelry(",5 star5 star (0%),B00NVRX5FG,"['https://images-na.ssl-images-amazon.com/images/I/51VCTCLoi3L._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/51VCTCLoi3L.jpg'],"['Wallet. Size (Approx.):4.5"" x 3.5"". Tri Fold Wallet. High Quality. Licensed Products.']",$19.97,,,,,,
120814,Santa & Rudolph Glass Nugz Snap - interchangeable snap jewelry from Nugz Jewelry,Nugz,"['Product Dimensions:\n                    \n10 x 6 x 1 inches', 'Shipping Weight:\n                    \n0.48 ounces (View shipping rates and policies)']","4,975,619inClothing,ShoesJewelry(",Nugz,B01690N8KS,"['https://images-na.ssl-images-amazon.com/images/I/41afBM3mrzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DP9ySt0PL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4191c7hK6CL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DP9ySt0PL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bTjeYMhVL._US40_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41afBM3mrzL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DP9ySt0PL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4191c7hK6CL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DP9ySt0PL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bTjeYMhVL.jpg']",,$8.00,,,,,,
21852,Bslingerie Ladies Halloween Sailor Costumes Set,Bslingerie,"['Sexy Cosplay Costume Set', 'The Costume Short Set comes with a hat, top and shorts.', 'The Costume Teddy Set comes with a Teddy, hat and gloves.', 'Size M only, fits for US 8.', ""Our brand 'BSLINGERIE' has been registered in US by USPTO. It is protected by laws in US. Please do not attempt to infringe our right otherwise legal action will be taken. Trademark no.: 4692206"", 'You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.', 'Read the full returns policy', 'Go to Your Orders to start the return', 'Print the return shipping label', 'Ship it!', 'Shipping Information:\n                    \nView shipping rates and policies']","663,227inClothing,ShoesJewelry(",5 star,B00BNAN4Y0,"['https://images-na.ssl-images-amazon.com/images/I/41-kXLFzklL._SR38,50_.jpg']",['https://images-na.ssl-images-amazon.com/images/I/41-kXLFzklL.jpg'],"[""Cosplay costume runs smaller than normal clothing, please go for next size up if you are not quite sure about the sizing. Our brand 'BSLINGERIE' has been registered in US by USPTO. It is protected by laws in US. Please do not attempt to infringe our right otherwise legal action will be taken. Trademark no.: 4692206""]",$15.39,"['B00ENGKYV2', 'B003D3OD9A', 'B07BNSP61H', 'B003Y8YPWE', 'B00X3CISEC', 'B005F50HTO', 'B00IM78JY2', 'B001DK759A', 'B016ZHEZXY', 'B00X3CJBN4', 'B00MYBREUM', 'B01I5NH614', 'B007FMC8HY', 'B00P0LWHA0', 'B00HVX5FR2', 'B01J06AXGU', 'B00KM5MOI4', 'B071NS7CW1', 'B00LECW4FW', 'B005C4Y3XE', 'B004YT45MC', 'B00XKOFUN0', 'B00842PEOI', 'B07GKKRT2Y', 'B0757G3NWJ', 'B074FV1BFL', 'B07CM319DV', 'B07BRR4YZG', 'B07FS3WFCK', 'B075FBXZSJ', 'B076D62X47', 'B00TDW16HC', 'B00DZP8TWS', 'B00T6HKLSO', 'B00LX3UNGY', 'B00X3CIVYY', 'B005C4Y3Z2', 'B07HZ6QTPF', 'B00MLXF87E', 'B002PU9XBU', 'B0796QMH84', 'B005F50HT4', 'B01M04TQSR', 'B077T54GXC', 'B00KM5L2U0', 'B00JRRJ0QW', 'B07DKYQ7GB', 'B074V6QSVW', 'B00C20D1VQ', 'B075J9M9BQ', 'B012RJHI2Y', 'B074XCY5MH', 'B06XDDTC64', 'B07JBK6GXQ', 'B00EUW5TVE', 'B00LECWDHQ', 'B07C777533', 'B07DPJ5G7K']","['B000GIQZ7I', 'B079HV169C', 'B01M1RQCST', 'B015JZV4L4', 'B078N1KNCF', 'B07BNSP61H', 'B07GBKGBZQ', 'B016ZHEZXY', 'B012RJHI2Y', 'B074HFX2S7', 'B000GIQZ82', 'B01M1IFRAV', 'B000GIUHB8', 'B000GIYBSS', 'B00ENGKYV2', 'B07C9RTQB6', 'B00X3CJBN4', 'B07BZDJZPF', 'B01I809NCO', 'B01M1DTHV0', 'B074WWX32Q', 'B0753QNNR3', 'B01523TGB8', 'B076HKX88R']"," class=""a-normal a-align-center a-spacing-small"">
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-state a-text-bold"">
                        Too small
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""28%""><div class=""a-meter-bar"" style=""width: 28%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>6</span>
                </td> 
            </tr>
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-state a-text-bold"">
                        Somewhat small
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""28%""><div class=""a-meter-bar"" style=""width: 28%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>6</span>
                </td> 
            </tr>
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-secondary"">
                        Fits as expected
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""42%""><div class=""a-meter-bar"" style=""width: 42%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>9</span>
                </td> 
            </tr>
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-secondary"">
                        Somewhat large
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""0%""><div class=""a-meter-bar"" style=""width: 0%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>0</span>
                </td> 
            </tr>
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-secondary"">
                        Too large
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""0%""><div class=""a-meter-bar"" style=""width: 0%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>0</span>
                </td> 
            </tr>
        
    ",,,
142484,Ritzy Couture Winter Wonderland Snowflake Cocktail Ring (Silvertone) (6.5),Ritzy Couture by Esme Hecht Jewelry,"['Wonderland Snowflake Ring showcases a decorated snowflake hand-painted with white enamel; accented with multi-shaped clear and Aurora Borealis crystals.', 'Silvertone Ring measures approximately 1.3""L x 1""W x 1"" D and available sizes 7, 8 and 9. Comfortable and lightweight; makes the sweetest, most meaningful gift for any Special Occasions.', 'Beautiful and fabulously detailed Handmade fancy accessories made with Metal and Enamel. 100% high-quality product doesnt contain harmful elements; safe for all type skins. Designed with love in the USA. Imported.', 'Designed by Esme Hecht  Original Designer of Lunch at The Ritz. Elegant and breathtaking designer jewelry for an exclusive outfit. Youll be sure to make an impression anywhere you go!', 'Brings a graceful look to any party or colorful occasions! A nice choice for yourself or as a gift for your girlfriend, wife, mother, sister, and anyone you can think of!', 'You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.', 'Read the full returns policy', 'Go to Your Orders to start the return', 'Print the return shipping label', 'Ship it!', 'Package Dimensions:\n                    \n4 x 3.9 x 1.8 inches', 'Shipping Weight:\n                    \n0.32 ounces (View shipping rates and policies)']","19,500,435inClothing,ShoesJewelry(",Ritzy Couture by Esme Hecht Jewelry,B01AJ6EQAE,"['https://images-na.ssl-images-amazon.com/images/I/51Q1M7PGVAL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BQ1pJNRwL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JoT2YQFiL._US40_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51Q1M7PGVAL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BQ1pJNRwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51JoT2YQFiL.jpg']","['Ritzy Couture Winter Wonderland Snowflake Cocktail Ring. Oh, the weather outside is frightful - but the fire is so delightful - and since we\'ve no place to go let it snow, let it snow, let it snow. Wear your snowflake inside where it\'s warm. Various multi shaped rhinestones form a striking snowflake design on top while the shank narrows at the bottom for a cozy, snug fit. These silvertone ring comes in variety of different sizes, with white enamel, clear and Aurora Borealis crystals, and will glisten indoors as well as out.  Silvertone Choose from size 7, 8 or 9 Measurements: 1.3""L x 1""W x 1""D White enamel, clear and Aurora Borealis crystals Various multi shaped rhinestones form a striking snowflake design on top The shank narrows at the bottom for a cozy, snug fit Ritzy Couture by Esme Hecht  Original Designer of Lunch at The Ritz Designed with love in the USA Imported']",$37.00,,,,,,
161693,Boys First Communion Rosary From Italy with Plastic Case & Bag,Westman Works,"['18 inch long rosary', 'Beads are plastic centerpiece and crucifix are metal', 'Made in Italy', 'You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.', 'Read the full returns policy', 'Go to Your Orders to start the return', 'Print the return shipping label', 'Ship it!', 'Package Dimensions:\n                    \n5.4 x 4.1 x 1.1 inches', 'Shipping Weight:\n                    \n1.6 ounces (View shipping rates and policies)']","2,097,810inClothing,ShoesJewelry(",Westman Works,B01DPY4IQ4,"['https://images-na.ssl-images-amazon.com/images/I/41sD-UoxHjL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QBERVI4TL._US40_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/41sD-UoxHjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51QBERVI4TL.jpg']","[""This rosary is perfect for any child's First Communion. Made in Italy.""]",$11.95,,"['B009RZI9WK', 'B01LX7MWD4', 'B007GD1ROC', '1593252668', 'B001GRWCGQ', 'B00B0F6DZK']",,,,
49673,Fawziya Leaves With Flower Purse Women's Round Shape Rhinestone Clutch Evening Bag,Fawziya,"['Crystal diamond: Fawziya adopts domestic AA diamond with 18 cut surfaces, so it has good refraction effect, and can shine.', 'Hardware: Fawziya uses K Gold aluminum-free plating process. Each hardware is well selected to ensure there are no scratch, bubble, and no rust on surface.', 'Fabrics: Fawziya adopts emulation silk stain. The adoption of light silk makes cloth charming, thin, soft, colorful, and lustrous.', 'Size:15(L)x9(W)x16(H)cm Chain:50 cm short chain removable', 'It is suitable for iphone, your key fob, lipstick, or lip gloss, powder, small brush, some credit cards and a pair of glasses.As shown, despite of very low prices due to direct sale of the factory, as many evaluated, it is more gorgeous than its pictures. All its angle shines. It is a beautiful and elegant evening handbag.', 'You can return this item for any reason and get a full refund: no shipping charges. The item must be returned in new and unused condition.', 'Read the full returns policy', 'Go to Your Orders to start the return', 'Print the return shipping label', 'Ship it!', ""What's Covered: mechanical and electrical failures during normal use, 100% parts and labor"", 'Get fast repairs or replacements from SquareTrade, an Allstate company', '24/7 customer support, free shipping for all repairs, no deductibles or hidden fees', 'Cancel anytime, full refund in first 30 days, fully transferable with gifts', 'SquareTrade Protection Plans are only valid for new or Amazon certified refurbished products purchased at Amazon in the last 30 days. By purchasing this Protection Plan you agree to the Protection Plan Terms & Conditions (http://www.squaretrade.com/terms-standard). Your Protection Plan Terms & Conditions will be delivered via email within 24 hours of purchase', ""What's Covered: mechanical and electrical failures during normal use, 100% parts and labor"", 'Get fast repairs or replacements from SquareTrade, an Allstate company', '24/7 customer support, free shipping for all repairs, no deductibles or hidden fees', 'Cancel anytime, full refund in first 30 days, fully transferable with gifts', 'SquareTrade Protection Plans are only valid for new or Amazon certified refurbished products purchased at Amazon in the last 30 days. By purchasing this Protection Plan you agree to the Protection Plan Terms & Conditions (http://www.squaretrade.com/terms-standard). Your Protection Plan Terms & Conditions will be delivered via email within 24 hours of purchase', 'Product Dimensions:\n                    \n5.9 x 3.5 x 6.1 inches', 'Shipping Weight:\n                    \n2 pounds (View shipping rates and policies)']","424,176inClothing,ShoesJewelry(",5 star,B00L37NJMK,"['https://images-na.ssl-images-amazon.com/images/I/61vym8RuSLL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/610jRIjdcrL._SS36_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61QkgVaEj0L._SS36_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/61vym8RuSLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/610jRIjdcrL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61QkgVaEj0L.jpg']","['Fawziya&reg evening handbag had more than one thousand models, many colors available. Besides, haute couture business is provided, new style is launched every month. For any comment and suggestions about our products or services, please tell us, we will give you satisfied answers asap and we also welcome you to share your comments. Brand Story: Fawziya&reg originates from Arabic which means success. In Chinese and English, comma is used to replace dot, meaning that Fawziya brand takes the lead in fashion trend and keeps advancing by creating a high-quality life... Faw is the vulgar form of another Chinese character; Zi indicates slender and graceful pose even without any wind; Ya means elegance. It represents an attitude of successful people, a comprehension and a practice. Notes: Colors shown may vary slightly from actual color due to screen calibration 1 inch error range is allowed due to different measure methods. As an honest Amazon seller, we offer convenient and efficient after-sales service; If you receive goods which is not in good condition or any defects,enclosed product pictures for our reference.Pls feel free to contact us if there is any problem.We will follow up within 24 hours and try our best to solve your problem.  Legal Statement: Fawziya is the United States Patent and Trademark Office the Departmrnt of Commerce registered trademark, and protected by the United States Patent and Trademark Office and the laws of the United States. Any trademark infringement behavior can be sued in the Federal Court. Besides, damages, hall fees, legal fees and Treble Damage can be obtained in the infringement lawsuit. Counterfeiting goods can be sued as a civil case and a criminal case. Any one who uses Fawziya trademark without the written consent, and sells counterfeiting Fawziya goods will pay a fine of $250000 or be condemned for less than 5 years.']",$10.09,"['B07G448QNP', 'B075LGGL1T', 'B07DYJQF2W', 'B07DC7J2YW', 'B074WJYBWN', 'B075L9R549', 'B01914Y7TA', 'B07G91NNWF', 'B01HD5FOM8', 'B00IUF5516', 'B01MUWLXDT', 'B01AW64232', 'B0185AHRSO', 'B07BPY2JGD', 'B07H69N7QX', 'B01N6EG06M', 'B073NYDSKS', 'B073YNBPJW', 'B00MC7DWFE', 'B01BEPYZ1Y', 'B074QK9GZY', 'B07GBT47XP', 'B019XF8NYM', 'B07DC95JH3', 'B00SH2QVSI', 'B07DCN2WLR', 'B00KLU6DVE', 'B00KAO8404', 'B0188SBL26', 'B074WM1VT7', 'B00KG4U8MU', 'B01N0ZI6TZ', 'B07GRPYJ83', 'B07JVJJY9V', 'B0792YMHHR', 'B06XBD33GS', 'B078S6NK85', 'B075JGLKTZ', 'B079HQXSNL', 'B07JBCZKZ2', 'B01D3FOEFK', 'B01MTQS5J7', 'B00KMSYPRO', 'B00JUM2PVQ', 'B015G6LCSG', 'B00KA2K00I', 'B07GGHHM5Z', 'B01HD3ITIG', 'B076FW7S96', 'B07FPC6NQY', 'B00K4T2MKS']","['B00LHK3K9A', 'B07DJ2SH7M', 'B01MPWDS55', 'B01FAHCW80', 'B00MC7DWFE', 'B00JUM2PVQ', 'B01914Y7TA', 'B00IUF5516']",,,,
6982,UpSpring C-Panty C Section Underwear for Support Recovery & Slimming - High Waisted Panty with C Section Scar Treatment,UpSpring Baby,"['DESIGNED SPECIFICALLY FOR C-SECTION SUPPORT. Designed especially for C-section recovery by a C-section mom and a medical team. C-section underwear recommended by OB/GYNs. Essential part of your c section recovery kit.', 'SLIMS AND SPEEDS RECOVERY. Targeted medical grade high waisted compression underwear slims post baby belly, reduces discomfort, and helps speed recovery post pregnancy.', 'C-SECTION SCAR HEALING. Patented, built-in 100% silicone panel minimizes scarring, reduces irritation, and protects incision area while helping to banish that post c section scar bulge.', 'COMFORTABLE CSECTION PANTIES. No uncomfortable binding waistband across your midsection and no hooks, bands or Velcro. More comfortable than a c section recovery belt, belly binder or belly band and works well with c section pants for postpartum recovery.', 'GET BACK TO FEELING LIKE YOU AGAIN QUICKER. Pull on and go postpartum c-section underwear for easier mobility. C-Panty can be worn immediately after c-section birth for up to 12 months. Feels great under postpartum pajamas. PACKAGING MAY VARY.', 'Designed especially for C-section recovery by a C-section mom and medical team', 'Targeted medical grade post maternity compression underwear that reduces swelling, reduces discomfort, and helps speed recovery', 'Patented, built in 100% silicone panel minimizes scarring, reduces irritation, and protects incision area while helping to banish that incision bulge', 'No uncomfortable binding waistband or c section belt across your midsection and no hooks, bands or Velcro, so nothing touches your incision area', 'Provides support for easier mobility and fits under clothing easily', 'Can be worn immediately post C-section for up to 12 months', 'Seamless, with full-cut rear', 'Recommended by OB/GYNs', 'Machine washable on gentle cycle, line dry', '92% nylon, 8% spandex  C-Panty is subject to U.S. Patent No. 5.980.923 and U.S. Patent No. 7.934.507.', 'Package Dimensions:\n                    \n8 x 6 x 4 inches', 'Shipping Weight:\n                    \n9 ounces (View shipping rates and policies)']","6,074inClothing,ShoesJewelry(",5 star,B0033AYKB4,"['https://images-na.ssl-images-amazon.com/images/I/51dG7LtRNjL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51swSacsdLL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51%2BvQlBhouL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zUTZEMcyL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FnusCQv9L._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51eZ7CMDkvL._SR38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/015VnoPOzLL._SX38_SY50_CR,0,0,38,50_.jpg']","['https://images-na.ssl-images-amazon.com/images/I/51dG7LtRNjL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51swSacsdLL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51%2BvQlBhouL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51zUTZEMcyL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51FnusCQv9L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51eZ7CMDkvL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/015VnoPOzLL.jpg']",,$39.95 - $39.99,"['B0798K5QX4', 'B07F6QXX4W', 'B07CN1T828', 'B07CMGGHTM', 'B07C6121KL', 'B0076ANXVU', 'B075X4KL95', 'B07C2K6N9V', 'B019ZR4K22', 'B07G2XW2TY', 'B07D3ZXGJW', 'B01DVCHQLO', 'B076W3MQ68', 'B01M1RBXJI', 'B00PJ7F1N0', 'B00WXG6684', 'B01NBIDDJ0', 'B01KHV39T0', 'B00LAIP72C', 'B07BTL7RRP', 'B075XGG1NR', 'B01DVCHQQE', 'B07C19GCVX', 'B00GRW16UI', 'B074KF5G3K', 'B07CM1BXZD', 'B011VA1JYS', 'B07JGSG2RW', 'B077276QGC', 'B071CDH8RC', 'B01EVFGM1A', 'B07CNKZHKL', 'B07HRKYZDN', 'B075X5RBVK', 'B07JHTWDYC', 'B07GX48KL8', 'B071HQHYRB', 'B01NCX3KRG', 'B07DNH8RQM', 'B07K8DRYK6', 'B00ZNL4NOU', 'B01ESYQHMI', 'B07C5C9SRQ', 'B06Y4NJMLS', 'B075XDVJL1', 'B00T2WBSC6']","['B07CN1T828', 'B07F6QXX4W', 'B01M1RBXJI', 'B07C6121KL', 'B019ZR4K22', 'B0798K5QX4', 'B074KF5G3K', 'B07D3ZXGJW', 'B077276QGC', 'B0779BF4V6', 'B075X4KL95', 'B07CMGGHTM', 'B01EVFGM1A', 'B0011ECPA2', 'B0076ANXVU', 'B00HUWJ3P4', 'B000067PQ0', 'B01MXHH91H', 'B07GX48KL8', 'B00295MQLU', 'B002KGHUL4', 'B006XISCNA', 'B07JGSG2RW', 'B071CDH8RC', 'B0723GXKJT', 'B06ZZQWP6N', 'B00WXG6684', 'B005MQW60O', 'B0045I6IAO', 'B075L6XXGR', 'B0116SFIXS', 'B079VV7521', 'B009UPUJIY', 'B00VO65XB0', 'B073R89SR5', 'B000WKNW2Q', 'B00D4MWKNQ', 'B07JG64N8W', 'B0761LJWZK', 'B0771FFWQ2', 'B01HG74QLI', 'B07HRKYZDN', 'B07G2XW2TY', 'B075XGG1NR', 'B01KIUH5UO', 'B078N9D3R8', 'B0166EB7A0', 'B00U0X2KBO', 'B00PC3K7OE', 'B01FY8VUKQ', 'B07DNH8RQM', 'B00LSP1PE6', 'B000UYFULU', 'B07DC8BR3B', 'B01NCX3KRG', 'B01MU2YFD4', 'B01M1FO5WP', 'B07CWK4S5W', 'B00GU1P5ZI', 'B075ZM9G8Y', 'B000CNOIQ2', 'B078HMR2YR', 'B002L800MC', 'B003TSDMH8', 'B075GSQXQ2', 'B009QXDE32', 'B07CNKZHKL', 'B001D4951C', 'B01F8W7CF0', 'B01MT2HH1I', 'B074XJ58C4', 'B00821FLSU', 'B07BDG2HNV', 'B0035LLG2W', 'B002SDD7LQ']"," class=""a-normal a-align-center a-spacing-small"">
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-secondary"">
                        Too small
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""7%""><div class=""a-meter-bar"" style=""width: 7%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>173</span>
                </td> 
            </tr>
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-secondary"">
                        Somewhat small
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""10%""><div class=""a-meter-bar"" style=""width: 10%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>230</span>
                </td> 
            </tr>
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-state a-text-bold"">
                        Fits as expected
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""68%""><div class=""a-meter-bar"" style=""width: 68%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>1,536</span>
                </td> 
            </tr>
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-secondary"">
                        Somewhat large
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""11%""><div class=""a-meter-bar"" style=""width: 11%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>259</span>
                </td> 
            </tr>
        
            <tr class=""a-histogram-row"">
                <td class=""a-span3 a-nowrap"">
                    <span class=""a-color-secondary"">
                        Too large
                    </span>
                </td>
                <td class=""a-span8"">
                    <div class=""a-meter"" aria-label=""2%""><div class=""a-meter-bar"" style=""width: 2%;""></div></div>
                </td> 
                <td class=""a-span1 a-nowrap"">
                    <span>58</span>
                </td> 
            </tr>
        
    ",,,
